Simulation Iteration,Q-Value,Q-value Difference
0.0,0.0,
26.0,0.0,0.0
56.0,0.0,0.0
136.0,2.090786530357299e-12,2.090786530357299e-12
146.0,2.421761223327864e-12,3.3097469297056507e-13
364.0,-9.064789575311612e-12,1.1486550798639475e-11
373.0,-1.4092446139284193e-11,5.027656563972582e-12
397.0,-9.161557821736216e-12,4.9308883175479776e-12
531.0,-1.164466094299356e-11,2.4831031212573433e-12
586.0,-1.4946917571889257e-11,3.302256628895698e-12
592.0,-1.532204914494357e-11,3.75131573054314e-13
678.0,-1.53105290903853e-11,1.1520054558271221e-14
717.0,-1.6055009413463972e-11,7.444803230786721e-13
751.0,-1.6839959341094584e-11,7.849499276306118e-13
779.0,-2.253714793197189e-11,5.697188590877306e-12
861.0,-2.3243364020320563e-11,7.062160883486731e-13
869.0,-2.4283108350857484e-11,1.0397443305369215e-12
897.0,-2.1419880294911076e-11,2.8632280559464086e-12
902.0,-2.0519567076371017e-11,9.003132185400592e-13
936.0,-2.0720029863180157e-11,2.0046278680914034e-13
988.0,-2.305526108575104e-11,2.3352312225708818e-12
1224.0,-2.472507021912937e-11,1.6698091333783327e-12
1240.0,-1.8346897543485866e-11,6.378172675643505e-12
1589.0,-1.9526740738733716e-11,1.17984319524785e-12
1792.0,-1.9775534788521262e-11,2.4879404978754636e-13
1950.0,-1.9547369328438757e-11,2.281654600825057e-13
2100.0,-1.8691723727048065e-11,8.556456013906919e-13
2182.0,-1.9237250349065406e-11,5.455266220173411e-13
2241.0,-1.6649741549168325e-11,2.5875087998970813e-12
2291.0,-1.6403220998715942e-11,2.4652055045238253e-13
2432.0,-1.7811394744956628e-11,1.408173746240686e-12
2452.0,-1.1157231697935273e-11,6.654163047021355e-12
2582.0,5.592351296610849e-12,1.6749582994546122e-11
2586.0,9.730915987621543e-12,4.138564691010694e-12
2597.0,1.3084697642815299e-11,3.353781655193756e-12
2686.0,-3.6434136983535436e-11,4.9518834626350737e-11
2724.0,-5.496835424926445e-10,5.132494055091091e-10
2843.0,-1.182151562577866e-10,4.314683862348579e-10
2954.0,-2.1338278492025112e-10,9.516762866246452e-11
3086.0,-2.2704157564571426e-10,1.3658790725463137e-11
3371.0,-1.8153393581864245e-10,4.5507639827071806e-11
3412.0,-1.7603317328236842e-10,5.500762536274033e-12
3414.0,-1.754411958077661e-10,5.919774746023134e-13
3491.0,-2.459513286373593e-10,7.051013282959321e-11
3504.0,-2.6343277918452696e-10,1.7481450547167643e-11
3688.0,-1.6568856332699396e-10,9.7744215857533e-11
3777.0,-1.5198386930927795e-10,1.3704694017716009e-11
3790.0,-1.5030077814280804e-10,1.6830911664699125e-12
3840.0,-1.4988102092217974e-10,4.1975722062829375e-13
3873.0,-1.3574293321253526e-10,1.413808770964448e-11
4155.0,-3.88342564045958e-11,9.690867680793946e-11
4161.0,-8.937632396259204e-11,5.054206755799624e-11
4237.0,-9.946172012574444e-11,1.0085396163152399e-11
4269.0,-7.312120555118821e-11,2.6340514574556224e-11
4344.0,8.07071815578179e-12,8.119192370697001e-11
4387.0,4.6150794871609e-11,3.8080076715827204e-11
4504.0,5.0759588874724785e-11,4.608794003115788e-12
4510.0,5.134557213434664e-11,5.859832596218563e-13
4574.0,-2.36326872665576e-10,2.876724447999226e-10
4685.0,-8.189928126682829e-11,1.544275913987477e-10
4773.0,-1.0124035037327699e-10,1.9341069106448695e-11
4870.0,-5.5168108954065816e-11,4.607224141921117e-11
4978.0,-8.729616911342157e-12,4.643849204272366e-11
5039.0,-0.8087668757891564,0.8087668757804268
5067.0,-0.9141460230254368,0.10537914723628039
5140.0,-0.9278897579480536,0.013743734922616824
5190.0,-0.9296884513399499,0.001798693391896311
5262.0,-0.9299243490139649,0.0002358976740149954
5293.0,-0.92995539574324,3.104672927511931e-05
