,learner_name,alpha,alpha_end,epsilon,epsilon_end,maxepisode,solver
0,Q_offpolicy,0.15,0.001,1.0,0.001,1000000.0,
1,friendQ_2Q,0.15,0.001,1.0,0.001,1000000.0,
2,friendQ_1Q,0.15,0.001,1.0,0.001,1000000.0,
3,Q_offpolicy,0.15,0.001,1.0,1.0,1000000.0,
4,friendQ_2Q,0.15,0.001,1.0,1.0,1000000.0,
5,friendQ_1Q,0.15,0.001,1.0,1.0,1000000.0,
6,foeQ_2Q,0.9,0.001,1.0,0.001,1000000.0,
7,foeQ_1Q_2LP,0.9,0.001,1.0,0.001,1000000.0,
8,foeQ_1Q_1LP,0.9,0.001,1.0,0.001,1000000.0,
9,ceQ,0.9,0.001,1.0,0.001,1000000.0,
10,foeQ_2Q,0.9,0.001,1.0,1.0,1000000.0,
11,foeQ_1Q_2LP,0.9,0.001,1.0,1.0,1000000.0,
12,foeQ_1Q_1LP,0.9,0.001,1.0,1.0,1000000.0,
13,ceQ,0.9,0.001,1.0,1.0,1000000.0,
14,friendQ_2Q_alt,0.15,0.001,1.0,0.001,1000000.0,
15,friendQ_2Q_alt,0.9,0.001,1.0,0.001,1000000.0,
16,friendQ_2Q_alt,0.5,0.001,1.0,0.001,1000000.0,
17,friendQ_2Q_alt,0.5,0.001,1.0,1.0,1000000.0,
18,friendQ_2Q_alt,0.9,0.001,1.0,1.0,1000000.0,
19,friendQ_2Q_alt,0.15,0.001,1.0,1.0,1000000.0,
20,friendQ_1Q_alt,0.15,0.001,1.0,1.0,1000000.0,
21,friendQ_1Q_alt,0.5,0.001,1.0,1.0,1000000.0,
22,friendQ_1Q_alt,0.9,0.001,1.0,1.0,1000000.0,
23,friendQ_1Q_alt,0.15,0.001,1.0,0.001,1000000.0,
24,friendQ_2Q_alt,0.2,0.001,1.0,0.001,1000000.0,
25,friendQ_2Q_alt,0.25,0.001,1.0,0.001,1000000.0,
26,friendQ_2Q_alt,0.22,0.001,1.0,0.001,1000000.0,
27,friendQ_2Q_alt,0.22,0.001,1.0,1.0,1000000.0,
28,friendQ_1Q_alt,0.22,0.001,1.0,0.001,1000000.0,
29,friendQ_1Q_alt,0.22,0.001,1.0,1.0,1000000.0,
